Date : 2026-01-31 20:12:45
Directory : /Users/kietle/Desktop/Roo-Code-Fork/src
Total : 946 files,  188384 codes, 22908 comments, 31318 blanks, all 242610 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/ripgrep/__tests__/index.spec.ts                                            | TypeScript         |         33 |          4 |         14 |         51 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/ripgrep/index.ts                                                           | TypeScript         |        175 |         63 |         34 |        272 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/roo-config/__tests__/index.spec.ts                                         | TypeScript         |        367 |          9 |        118 |        494 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/roo-config/index.ts                                                        | TypeScript         |        129 |        237 |         35 |        401 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/search/__tests__/file-search.spec.ts                                       | TypeScript         |         77 |          7 |         17 |        101 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/search/file-search.ts                                                      | TypeScript         |        144 |         20 |         31 |        195 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/skills/SkillsManager.ts                                                    | TypeScript         |        227 |         74 |         60 |        361 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/skills/__tests__/SkillsManager.spec.ts                                     | TypeScript         |        657 |         21 |        153 |        831 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-c-sharp.ts                           | TypeScript         |        390 |          0 |          1 |        391 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-c.ts                                 | TypeScript         |        452 |          0 |          1 |        453 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-cpp.ts                               | TypeScript         |        179 |          0 |          1 |        180 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-css.ts                               | TypeScript         |         97 |          0 |          1 |         98 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-elisp.ts                             | TypeScript         |         51 |          0 |          6 |         57 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-elixir.ts                            | TypeScript         |        117 |          0 |          1 |        118 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-embedded_template.ts                 | TypeScript         |         88 |          0 |          1 |         89 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-go.ts                                | TypeScript         |        126 |          0 |          1 |        127 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-html.ts                              | TypeScript         |         88 |          0 |          1 |         89 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-java.ts                              | TypeScript         |        193 |          0 |          1 |        194 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-javascript.ts                        | TypeScript         |        165 |          0 |          1 |        166 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-json.ts                              | TypeScript         |        108 |          0 |          1 |        109 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-kotlin.ts                            | TypeScript         |        403 |          0 |          1 |        404 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-lua.ts                               | TypeScript         |        138 |          0 |          1 |        139 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-ocaml.ts                             | TypeScript         |         66 |          0 |          1 |         67 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-php.ts                               | TypeScript         |        335 |          0 |          1 |        336 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-python.ts                            | TypeScript         |        149 |          0 |          2 |        151 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-ruby.ts                              | TypeScript         |        577 |          0 |          1 |        578 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-rust.ts                              | TypeScript         |        308 |          0 |          1 |        309 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-scala.ts                             | TypeScript         |         94 |          0 |          1 |         95 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-solidity.ts                          | TypeScript         |        102 |          0 |          1 |        103 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-swift.ts                             | TypeScript         |        298 |          0 |          1 |        299 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-systemrdl.ts                         | TypeScript         |         86 |          0 |          1 |         87 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-tlaplus.ts                           | TypeScript         |         49 |          0 |          1 |         50 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-toml.ts                              | TypeScript         |         72 |          0 |          1 |         73 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-tsx.ts                               | TypeScript         |        326 |          1 |          1 |        328 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-typescript.ts                        | TypeScript         |        208 |          0 |          1 |        209 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-vue.ts                               | TypeScript         |         90 |          0 |          4 |         94 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/fixtures/sample-zig.ts                               | TypeScript         |         42 |          0 |          1 |         43 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/helpers.ts                                           | TypeScript         |         78 |         22 |         27 |        127 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectC.spec.ts                                     | TypeScript         |         20 |          1 |          4 |         25 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectCSS.spec.ts                                   | TypeScript         |         21 |          2 |          4 |         27 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectCSharp.spec.ts                                | TypeScript         |         19 |          1 |          4 |         24 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectCpp.spec.ts                                   | TypeScript         |         17 |          2 |          4 |         23 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectElisp.spec.ts                                 | TypeScript         |         23 |          1 |          5 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectElixir.spec.ts                                | TypeScript         |         22 |          0 |          4 |         26 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectEmbeddedTemplate.spec.ts                      | TypeScript         |         20 |          0 |          4 |         24 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectGo.spec.ts                                    | TypeScript         |         42 |         11 |         13 |         66 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectHtml.spec.ts                                  | TypeScript         |         19 |          1 |          4 |         24 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectJava.spec.ts                                  | TypeScript         |         20 |          0 |          4 |         24 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectJavaScript.spec.ts                            | TypeScript         |         20 |          1 |          4 |         25 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectJson.spec.ts                                  | TypeScript         |         17 |          0 |          4 |         21 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectKotlin.spec.ts                                | TypeScript         |         17 |          0 |          4 |         21 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectLua.spec.ts                                   | TypeScript         |         19 |          0 |          4 |         23 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectOCaml.spec.ts                                 | TypeScript         |         23 |          0 |          4 |         27 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectPhp.spec.ts                                   | TypeScript         |         20 |          0 |          4 |         24 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectPython.spec.ts                                | TypeScript         |         18 |          3 |          4 |         25 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectRuby.spec.ts                                  | TypeScript         |         16 |          2 |          4 |         22 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectRust.spec.ts                                  | TypeScript         |         21 |          6 |          7 |         34 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectScala.spec.ts                                 | TypeScript         |         21 |          0 |          4 |         25 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectSolidity.spec.ts                              | TypeScript         |         22 |          0 |          4 |         26 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectSwift.spec.ts                                 | TypeScript         |         22 |          5 |          6 |         33 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectSystemRDL.spec.ts                             | TypeScript         |         20 |          0 |          4 |         24 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectTLAPlus.spec.ts                               | TypeScript         |         17 |          0 |          4 |         21 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectTOML.spec.ts                                  | TypeScript         |         17 |          0 |          4 |         21 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectTsx.spec.ts                                   | TypeScript         |         18 |          6 |          7 |         31 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectTypeScript.spec.ts                            | TypeScript         |         20 |          1 |          4 |         25 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectVue.spec.ts                                   | TypeScript         |         18 |          0 |          4 |         22 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/inspectZig.spec.ts                                   | TypeScript         |         17 |          0 |          3 |         20 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/languageParser.spec.ts                               | TypeScript         |         46 |          2 |          9 |         57 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/markdownIntegration.spec.ts                          | TypeScript         |         35 |         13 |         16 |         64 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/markdownParser.spec.ts                               | TypeScript         |        420 |         49 |         74 |        543 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.c-sharp.spec.ts           | TypeScript         |         78 |         11 |         23 |        112 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.c.spec.ts                 | TypeScript         |         73 |         19 |         22 |        114 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.cpp.spec.ts               | TypeScript         |         69 |         23 |         20 |        112 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.css.spec.ts               | TypeScript         |         57 |          1 |         13 |         71 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.elisp.spec.ts             | TypeScript         |         45 |          9 |         13 |         67 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.elixir.spec.ts            | TypeScript         |         68 |          5 |         17 |         90 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.embedded_template.spec.ts | TypeScript         |         43 |          0 |         10 |         53 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.go.spec.ts                | TypeScript         |         29 |         21 |          8 |         58 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.html.spec.ts              | TypeScript         |         55 |          0 |         15 |         70 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.java.spec.ts              | TypeScript         |         66 |         16 |         18 |        100 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.javascript.spec.ts        | TypeScript         |         48 |          1 |         10 |         59 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.json.spec.ts              | TypeScript         |         41 |          1 |         10 |         52 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.kotlin.spec.ts            | TypeScript         |         19 |          0 |          4 |         23 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.lua.spec.ts               | TypeScript         |         40 |          0 |         11 |         51 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.ocaml.spec.ts             | TypeScript         |         42 |          0 |         12 |         54 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.php.spec.ts               | TypeScript         |         17 |          1 |          4 |         22 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.python.spec.ts            | TypeScript         |         46 |         25 |         10 |         81 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.ruby.spec.ts              | TypeScript         |         86 |          4 |         19 |        109 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.rust.spec.ts              | TypeScript         |         67 |          5 |         23 |         95 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.scala.spec.ts             | TypeScript         |         61 |         13 |         18 |         92 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.solidity.spec.ts          | TypeScript         |         65 |          0 |         12 |         77 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.swift.spec.ts             | TypeScript         |         69 |         19 |         19 |        107 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.systemrdl.spec.ts         | TypeScript         |         55 |          3 |         11 |         69 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.tlaplus.spec.ts           | TypeScript         |         55 |          3 |         14 |         72 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.toml.spec.ts              | TypeScript         |         74 |          3 |         15 |         92 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.tsx.spec.ts               | TypeScript         |         72 |         40 |         17 |        129 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.typescript.spec.ts        | TypeScript         |         51 |          0 |         12 |         63 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.vue.spec.ts               | TypeScript         |         47 |         12 |         13 |         72 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/__tests__/parseSourceCodeDefinitions.zig.spec.ts               | TypeScript         |         32 |          0 |          6 |         38 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/index.ts                                                       | TypeScript         |        175 |        111 |         46 |        332 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/languageParser.ts                                              | TypeScript         |        197 |         23 |         12 |        232 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/markdownParser.ts                                              | TypeScript         |        144 |         52 |         32 |        228 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/c-sharp.ts                                             | TypeScript         |         62 |          3 |          1 |         66 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/c.ts                                                   | TypeScript         |         52 |         32 |          2 |         86 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/cpp.ts                                                 | TypeScript         |         81 |         15 |          1 |         97 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/css.ts                                                 | TypeScript         |         67 |          3 |          2 |         72 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/elisp.ts                                               | TypeScript         |         39 |          1 |          1 |         41 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/elixir.ts                                              | TypeScript         |         70 |          0 |          1 |         71 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/embedded_template.ts                                   | TypeScript         |         13 |          6 |          1 |         20 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/go.ts                                                  | TypeScript         |         22 |          4 |          1 |         27 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/html.ts                                                | TypeScript         |         51 |          0 |          1 |         52 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/index.ts                                               | TypeScript         |         28 |          0 |          1 |         29 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/java.ts                                                | TypeScript         |         70 |          3 |          1 |         74 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/javascript.ts                                          | TypeScript         |        115 |          8 |          1 |        124 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/kotlin.ts                                              | TypeScript         |         99 |          8 |          1 |        108 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/lua.ts                                                 | TypeScript         |         30 |          7 |          1 |         38 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/ocaml.ts                                               | TypeScript         |         31 |          0 |          1 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/php.ts                                                 | TypeScript         |        130 |         42 |          1 |        173 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/python.ts                                              | TypeScript         |         70 |          3 |          1 |         74 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/ruby.ts                                                | TypeScript         |        180 |         24 |          1 |        205 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/rust.ts                                                | TypeScript         |         76 |          4 |          1 |         81 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/scala.ts                                               | TypeScript         |         44 |          0 |          1 |         45 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/solidity.ts                                            | TypeScript         |         44 |          0 |          1 |         45 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/swift.ts                                               | TypeScript         |         57 |         17 |          1 |         75 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/systemrdl.ts                                           | TypeScript         |         25 |          8 |          1 |         34 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/tlaplus.ts                                             | TypeScript         |         23 |          9 |          1 |         33 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/toml.ts                                                | TypeScript         |         23 |          1 |          1 |         25 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/tsx.ts                                                 | TypeScript         |         73 |         12 |          3 |         88 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/typescript.ts                                          | TypeScript         |        107 |         16 |          1 |        124 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/vue.ts                                                 | TypeScript         |         29 |          0 |          1 |         30 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/services/tree-sitter/queries/zig.ts                                                 | TypeScript         |         21 |          0 |          1 |         22 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/ProfileValidator.ts                                                          | TypeScript         |         79 |          1 |         15 |         95 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/WebviewMessage.ts                                                            | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/__tests__/ProfileValidator.spec.ts                                           | TypeScript         |        288 |          4 |         46 |        338 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/__tests__/api.spec.ts                                                        | TypeScript         |        391 |         10 |         81 |        482 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/__tests__/checkExistApiConfig.spec.ts                                        | TypeScript         |         83 |          1 |         14 |         98 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/__tests__/combineApiRequests.spec.ts                                         | TypeScript         |        428 |         73 |        131 |        632 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/__tests__/combineCommandSequences.spec.ts                                    | TypeScript         |        168 |          1 |         18 |        187 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/__tests__/context-mentions.spec.ts                                           | TypeScript         |        113 |         16 |         21 |        150 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/__tests__/experiments-preventFocusDisruption.spec.ts                         | TypeScript         |         21 |          3 |          7 |         31 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/__tests__/experiments.spec.ts                                                | TypeScript         |         83 |          1 |          9 |         93 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/__tests__/getApiMetrics.spec.ts                                              | TypeScript         |        252 |         22 |         56 |        330 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/__tests__/language.spec.ts                                                   | TypeScript         |         15 |          1 |          5 |         21 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/__tests__/modes-empty-prompt-component.spec.ts                               | TypeScript         |         63 |         14 |         21 |         98 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/__tests__/modes.spec.ts                                                      | TypeScript         |        577 |         39 |         76 |        692 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/__tests__/support-prompts.spec.ts                                            | TypeScript         |        239 |          1 |         28 |        268 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/__tests__/vsCodeSelectorUtils.spec.ts                                        | TypeScript         |         36 |          0 |         10 |         46 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/api.ts                                                                       | TypeScript         |        121 |         39 |         31 |        191 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/array.ts                                                                     | TypeScript         |         13 |          8 |          2 |         23 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/browserUtils.ts                                                              | TypeScript         |         70 |         18 |          8 |         96 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/checkExistApiConfig.ts                                                       | TypeScript         |         22 |          4 |          6 |         32 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/combineApiRequests.ts                                                        | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/combineCommandSequences.ts                                                   | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/context-mentions.ts                                                          | TypeScript         |         42 |         64 |          6 |        112 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/core.ts                                                                      | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/cost.ts                                                                      | TypeScript         |         67 |          7 |         10 |         84 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/embeddingModels.ts                                                           | TypeScript         |        123 |         50 |         17 |        190 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/experiments.ts                                                               | TypeScript         |         40 |          0 |          8 |         48 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/getApiMetrics.ts                                                             | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/globalFileNames.ts                                                           | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/language.ts                                                                  | TypeScript         |         28 |         10 |          6 |         44 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/modes.ts                                                                     | TypeScript         |        201 |         40 |         46 |        287 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/package.ts                                                                   | TypeScript         |          8 |          6 |          2 |         16 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/parse-command.ts                                                             | TypeScript         |        150 |         48 |         26 |        224 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/skills.ts                                                                    | TypeScript         |         10 |          7 |          2 |         19 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/string-extensions.d.ts                                                       | TypeScript         |          6 |         18 |          2 |         26 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/support-prompt.ts                                                            | TypeScript         |        181 |          5 |          9 |        195 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/todo.ts                                                                      | TypeScript         |         23 |          0 |          3 |         26 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/tools.ts                                                                     | TypeScript         |        270 |         58 |         41 |        369 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/utils/__tests__/requesty.spec.ts                                             | TypeScript         |        109 |          3 |         24 |        136 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/utils/requesty.ts                                                            | TypeScript         |         31 |         20 |          6 |         57 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/shared/vsCodeSelectorUtils.ts                                                       | TypeScript         |          5 |          0 |          3 |          8 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/tsconfig.json                                                                       | JSON with Comments |         32 |          0 |          1 |         33 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/turbo.json                                                                          | JSON               |         19 |          0 |          1 |         20 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/types/global-agent.d.ts                                                             | TypeScript         |          8 |         35 |          5 |         48 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/utils/__tests__/autoImportSettings.spec.ts                                          | TypeScript         |        246 |         19 |         46 |        311 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/utils/__tests__/config.spec.ts                                                      | TypeScript         |        227 |          4 |         25 |        256 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/utils/__tests__/cost.spec.ts                                                        | TypeScript         |        142 |         47 |         37 |        226 |
